"plan_name","fy","state","fund","arr","gov_type","NetPensionLiability","consultant","mva","ava","return","NoFeeData","group_fees","group_id","feeprop","EQTotal_Fee","FITotal_Fee","RETotal_Fee","AltMiscTotal_Fee","PETotal_Fee","HFTotal_Fee","COMDTotal_Fee","expense_AdminExpenses","CashTotal_Fee","OtherTotal_Fee","total_fees"
"Alabama ERS",2001,"AL",1.002,0.08,0,0,"AM South Bank, NA",7236735,8028471,-0.0636,NA,NA,NA,1,0,0,0,0,0,0,0,-4578,0,0,0
"Alabama ERS",2002,"AL",0.954,0.08,0,0,"AM South Bank, NA",6424435,8100846.5,-0.0929,NA,NA,NA,1,0,0,0,0,0,0,0,-5582,0,0,0
"Alabama ERS",2003,"AL",0.911,0.08,0,0,"AM South Bank, NA",7222812,8312500,0.1648,NA,NA,NA,1,0,0,0,0,0,0,0,-5843,0,0,0
"Alabama ERS",2004,"AL",0.897,0.08,0,0,"AM South Bank, NA",7795598,8563945,0.1006,NA,NA,NA,1,0,0,0,0,0,0,0,-5892,0,0,0
"Alabama ERS",2005,"AL",0.84,0.08,0,0,"AM South Bank, NA",8464515,8935358,0.1098,1,0,0,0,0,0,0,0,0,0,0,-6898,0,0,0
"Alabama ERS",2006,"AL",0.811,0.08,0,0,"Regions Bank, NA",9001867,9287531,0.0837,1,0,0,0,0,0,0,0,0,0,0,-7850,0,0,0
"Alabama ERS",2007,"AL",0.79,0.08,0,0,"Regions Bank, NA",10401218,9770897,0.1792,1,0,0,0,0,0,0,0,0,0,0,-7813,0,0,0
"Alabama ERS",2008,"AL",0.757,0.08,0,0,"Regions Bank, NA",8647705,9905766,-0.1521,1,0,0,0,0,0,0,0,0,0,0,-9892,0,0,0
"Alabama ERS",2009,"AL",0.722,0.08,0,0,"Regions Bank, NA",7679005,9928104,-0.1003,1,0,0,0,0,0,0,0,0,0,0,-9413,0,0,0
"Alabama ERS",2010,"AL",0.682,0.08,0,0,"Regions Bank, NA",8176732,9739331,0.0847,1,0,0,0,0,0,0,0,0,0,0,-10334,0,0,0
"Alabama ERS",2011,"AL",0.658,0.08,0,0,"Regions Bank, NA",8130435,9456158,0.0221,1,0,0,0,0,0,0,0,0,0,0,-10002,0,0,0
"Alabama ERS",2012,"AL",0.657,0.08,0,0,"Regions Bank, NA",9188696,9116551,0.1801,1,0,0,0,0,0,0,0,0,0,0,-10616,0,0,0
"Alabama ERS",2013,"AL",0.657,0.08,0,0,"Regions Bank, NA",10091940,9546459,0.146,1,0,0,0,0,0,0,0,0,0,0,-9767,0,0,0
"Alabama ERS",2014,"AL",0.669,0.08,0,4722181,"Regions Bank, NA",10883952,10134581,0.1202,1,0,0,0,0,0,0,0,0,0,0,-9612,0,0,0
"Alabama ERS",2015,"AL",0.673,0.08,0,5408828,"Regions Bank, NA",10551904,10589258,0.0105,1,0,0,0,0,0,0,0,0,0,0,-11136,0,0,0
"Alabama ERS",2016,"AL",0.662,0.07875,0,5800008,"Regions Bank, NA",11177074,11082280,0.1022,1,0,0,0,0,0,0,0,0,0,0,-11002,0,0,0
"Alabama ERS",2017,"AL",0.678,0.0775,0,5268268,"Regions Bank, NA",12122471,11690952,0.1286,1,0,0,0,0,0,0,0,0,0,0,-11982,0,0,0
"Alabama ERS",2018,"AL",0.687,0.077,0,5141759,"Regions Bank, NA",12720352,12240597,0.0929,NA,NA,NA,1,0,0,0,0,0,0,0,-11219,0,0,0
"Alabama ERS",2019,"AL",0.682,0.077,0,5785418,"Regions Bank, NA",12568473,12645789,0.0278,NA,NA,NA,1,0,0,0,0,0,0,0,-12934,0,0,0
"Alabama ERS",2020,"AL",0.682,0.077,0,6556427,"Regions Bank, NA",13150538,13491176,0.0583,NA,NA,NA,1,0,0,0,0,0,0,0,-13128,0,0,0
"Alabama ERS",2021,"AL",0.677,0.0745,0,5584488,"Regions Bank, NA",15479476,14291093,0.2218,NA,NA,NA,1,0,0,0,0,0,0,0,-10977,0,0,0
"Alabama ERS",2022,"AL",0.656,0.0745,0,8657788,"Regions Bank, NA",12999159,14504813,-0.1302,NA,NA,NA,1,0,0,0,0,0,0,0,-11306,0,0,0
"Alabama Teachers",2001,"AL",1.014,0.08,0,0,"AM South Bank, NA",15814533,17475298,-0.0605,NA,NA,NA,1,0,0,0,0,0,0,0,-6023,0,0,0
"Alabama Teachers",2002,"AL",0.974,0.08,0,0,"AM South Bank, NA",14167952,17904880,-0.0781,NA,NA,NA,1,0,0,0,0,0,0,0,-6845,0,0,0
"Alabama Teachers",2003,"AL",0.936,0.08,0,0,"AM South Bank, NA",15685620,18110470,0.1598,NA,NA,NA,1,0,0,0,0,0,0,0,-7011,0,0,0
"Alabama Teachers",2004,"AL",0.896,0.08,0,0,"AM South Bank, NA",16853148,18704008,0.1071,NA,NA,NA,1,0,0,0,0,0,0,0,-7361,0,0,0
"Alabama Teachers",2005,"AL",0.836,0.08,0,0,"AM South Bank, NA",18168524,19248208,0.1126,1,0,0,0,0,0,0,0,0,0,0,-10372,0,0,0
"Alabama Teachers",2006,"AL",0.828,0.08,0,0,"Regions Bank, NA",19207804,19821132,0.0882,1,0,0,0,0,0,0,0,0,0,0,-11325,0,0,0
