ppd_id,PlanName,fy,Notes_Fees,NoFeeData,group_fees,group_id,est_proportion,EQTotal_Fee,FITotal_Fee,RETotal_Fee,AltMiscTotal_Fee,PETotal_Fee,HFTotal_Fee,COMDTotal_Fee,CashTotal_Fee,OtherTotal_Fee
1,Alabama ERS,2005,,1,,,,,,,,,,,,
1,Alabama ERS,2006,,1,,,,,,,,,,,,
1,Alabama ERS,2007,,1,,,,,,,,,,,,
1,Alabama ERS,2008,,1,,,,,,,,,,,,
1,Alabama ERS,2009,,1,,,,,,,,,,,,
1,Alabama ERS,2010,,1,,,,,,,,,,,,
1,Alabama ERS,2011,,1,,,,,,,,,,,,
1,Alabama ERS,2012,,1,,,,,,,,,,,,
1,Alabama ERS,2013,,1,,,,,,,,,,,,
1,Alabama ERS,2014,,1,,,,,,,,,,,,
1,Alabama ERS,2015,,1,,,,,,,,,,,,
1,Alabama ERS,2016,,1,,,,,,,,,,,,
1,Alabama ERS,2017,No fee data broken down by asset class in plan CAFR or Investment Report - broken down by investment consultant.  ,1,,,,,,,,,,,,
2,Alabama Teachers,2005,,1,,,,,,,,,,,,
2,Alabama Teachers,2006,,1,,,,,,,,,,,,
2,Alabama Teachers,2007,,1,,,,,,,,,,,,
2,Alabama Teachers,2008,,1,,,,,,,,,,,,
2,Alabama Teachers,2009,,1,,,,,,,,,,,,
2,Alabama Teachers,2010,,1,,,,,,,,,,,,
2,Alabama Teachers,2011,,1,,,,,,,,,,,,
2,Alabama Teachers,2012,,1,,,,,,,,,,,,
2,Alabama Teachers,2013,,1,,,,,,,,,,,,
2,Alabama Teachers,2014,,1,,,,,,,,,,,,
2,Alabama Teachers,2015,,1,,,,,,,,,,,,
2,Alabama Teachers,2016,,1,,,,,,,,,,,,
2,Alabama Teachers,2017,No fee data broken down by asset class in plan CAFR or Investment Report - broken down by investment consultant.  ,1,,,,,,,,,,,,
3,Alaska PERS,2005,2005 AK PERS CAFR p72;  no real estate fees reported in 2005,,,,,12836,1525,,,1116,1173,140,,
3,Alaska PERS,2006,2006 AK PERS CAFR,,,,,18150,1747,9550,,2055,3019,479,,
3,Alaska PERS,2007,2007 AK PERS CAFR p95,,,,,18529,1179,3947,,1995,1941,1598,,
3,Alaska PERS,2008,2008 AK PERS CAFR p99,,,,,18925,1254,9746,,2908,3932,1901,,
